student_id,week,week_ending,attendance_pct,vle_logins,vle_hours,materials_accessed
STU0007,6,2025-02-08,65.35,1,0.0,0
STU0007,7,2025-02-15,62.47,5,1.9,0
STU0007,8,2025-02-22,46.8,3,0.35,0
STU0007,9,2025-03-01,63.74,3,0.44,1
STU0007,10,2025-03-08,81.39,2,0.0,0
STU0007,11,2025-03-15,74.19,5,3.41,0
STU0007,12,2025-03-22,64.44,6,2.21,0
STU0008,1,2025-01-04,80.03,5,1.5,1
STU0008,2,2025-01-11,73.7,3,0.0,1
STU0008,3,2025-01-18,79.75,10,5.53,1
STU0008,4,2025-01-25,81.3,11,5.28,2
STU0008,5,2025-02-01,85.72,5,0.0,3
STU0008,6,2025-02-08,81.07,6,0.0,3
STU0008,7,2025-02-15,93.26,9,5.26,3
STU0008,8,2025-02-22,86.41,11,4.88,3
STU0008,9,2025-03-01,76.48,8,5.15,3
STU0008,10,2025-03-08,87.36,8,4.41,4
STU0008,11,2025-03-15,92.83,9,5.08,4
STU0008,12,2025-03-22,93.71,4,0.0,1
STU0009,1,2025-01-04,57.26,0,0.66,0
STU0009,2,2025-01-11,68.54,2,0.41,0
STU0009,3,2025-01-18,61.05,2,0.0,0
STU0009,4,2025-01-25,51.19,1,4.04,0
STU0009,5,2025-02-01,60.26,2,0.0,1
STU0009,6,2025-02-08,64.57,1,0.0,0
STU0009,7,2025-02-15,69.25,0,0.0,1
STU0009,8,2025-02-22,67.73,3,4.51,1
STU0009,9,2025-03-01,77.69,1,0.0,0
STU0009,10,2025-03-08,65.58,2,4.39,0
STU0009,11,2025-03-15,69.84,3,0.0,1
STU0009,12,2025-03-22,75.09,5,2.19,2
STU0010,1,2025-01-04,55.9,0,0.42,0
STU0010,2,2025-01-11,49.6,0,2.44,0
STU0010,3,2025-01-18,49.56,0,0.0,0
STU0010,4,2025-01-25,42.78,1,1.43,0
STU0010,5,2025-02-01,50.59,1,0.63,0
STU0010,6,2025-02-08,57.84,0,1.67,1
STU0010,7,2025-02-15,56.0,0,0.0,1
STU0010,8,2025-02-22,58.58,0,0.0,0
STU0010,9,2025-03-01,64.06,1,0.0,0
STU0010,10,2025-03-08,44.95,1,0.25,1
STU0010,11,2025-03-15,43.99,1,1.73,1
STU0010,12,2025-03-22,76.86,0,0.53,0
STU0011,1,2025-01-04,85.1,3,1.06,2
STU0011,2,2025-01-11,70.82,1,1.39,1
STU0011,3,2025-01-18,81.19,3,1.44,0
STU0011,4,2025-01-25,56.8,2,0.0,0
STU0011,5,2025-02-01,77.02,7,4.61,2
STU0011,6,2025-02-08,67.12,2,0.0,1
STU0011,7,2025-02-15,78.75,0,0.65,0
STU0011,8,2025-02-22,77.97,4,2.11,0
STU0011,9,2025-03-01,74.99,6,5.37,0
STU0011,10,2025-03-08,86.03,5,4.96,2
STU0011,11,2025-03-15,78.98,3,0.0,2
STU0011,12,2025-03-22,59.46,2,0.0,0
STU0012,1,2025-01-04,100.0,11,4.7,2
STU0012,2,2025-01-11,95.74,9,3.36,2
STU0012,3,2025-01-18,95.5,13,6.67,2
STU0012,4,2025-01-25,89.57,6,2.1,1
STU0012,5,2025-02-01,85.98,14,7.61,2
STU0012,6,2025-02-08,96.44,8,4.9,3
STU0012,7,2025-02-15,88.58,10,3.29,6
STU0012,8,2025-02-22,77.84,10,6.43,3
STU0012,9,2025-03-01,82.5,15,9.33,4
STU0012,10,2025-03-08,96.61,7,3.39,4
STU0012,11,2025-03-15,93.16,16,8.46,4
STU0012,12,2025-03-22,82.81,8,5.28,3
STU0013,1,2025-01-04,39.04,1,0.0,0
STU0013,2,2025-01-11,47.86,0,0.0,0
STU0013,3,2025-01-18,40.24,1,1.0,0
STU0013,4,2025-01-25,39.42,1,4.68,1
STU0013,5,2025-02-01,42.61,0,1.07,0
STU0013,6,2025-02-08,49.2,0,2.23,0
STU0013,7,2025-02-15,35.32,0,0.2,0
STU0013,8,2025-02-22,51.01,0,1.36,1
STU0013,9,2025-03-01,44.77,0,0.0,0
STU0013,10,2025-03-08,42.58,0,1.64,0
STU0013,11,2025-03-15,41.08,0,0.75,0
STU0013,12,2025-03-22,35.47,0,0.0,0
STU0014,1,2025-01-04,64.38,3,0.9,0
STU0014,2,2025-01-11,68.32,2,0.0,3
STU0014,3,2025-01-18,64.94,2,0.0,2
STU0014,4,2025-01-25,81.11,3,0.99,0
STU0014,5,2025-02-01,67.63,4,0.53,0
STU0014,6,2025-02-08,60.02,1,0.74,1
STU0014,7,2025-02-15,67.48,5,1.08,0
STU0014,8,2025-02-22,66.29,1,1.31,0
STU0014,9,2025-03-01,62.68,2,2.45,2
STU0014,10,2025-03-08,73.48,4,0.75,1
STU0014,11,2025-03-15,57.44,1,1.78,0
STU0014,12,2025-03-22,68.51,7,6.25,0
STU0015,1,2025-01-04,54.12,0,0.0,0
STU0015,2,2025-01-11,41.9,1,0.0,2
STU0015,3,2025-01-18,55.62,0,0.0,2
STU0015,4,2025-01-25,39.94,1,0.0,1
STU0015,5,2025-02-01,67.62,1,0.15,0
STU0015,6,2025-02-08,56.04,0,0.0,0
STU0015,7,2025-02-15,65.02,0,0.0,0
STU0015,8,2025-02-22,46.23,0,0.0,0
STU0015,9,2025-03-01,50.42,0,0.0,0
STU0015,10,2025-03-08,59.28,0,0.0,0
STU0015,11,2025-03-15,59.74,0,0.0,0
STU0015,12,2025-03-22,64.81,0,0.0,0
STU0016,1,2025-01-04,79.73,6,2.79,2
STU0016,2,2025-01-11,75.92,5,3.21,4
STU0016,3,2025-01-18,86.32,5,4.44,3
STU0016,4,2025-01-25,76.56,8,3.17,3
STU0016,5,2025-02-01,68.76,4,5.2,2
STU0016,6,2025-02-08,88.06,9,6.08,1
STU0016,7,2025-02-15,94.02,6,3.9,2
STU0016,8,2025-02-22,89.93,6,4.15,1
STU0016,9,2025-03-01,94.57,8,4.67,3
STU0016,10,2025-03-08,96.26,15,7.23,3
STU0016,11,2025-03-15,99.19,12,8.01,7
STU0016,12,2025-03-22,93.46,8,3.41,2
STU0017,1,2025-01-04,31.32,0,0.38,0
STU0017,2,2025-01-11,42.87,0,0.0,1
STU0017,3,2025-01-18,35.39,0,0.0,0
STU0017,4,2025-01-25,37.03,0,0.08,0
STU0017,5,2025-02-01,49.49,0,0.0,0
STU0017,6,2025-02-08,56.78,0,0.0,0
STU0017,7,2025-02-15,52.93,0,0.18,0
STU0017,8,2025-02-22,57.6,0,0.0,0
STU0017,9,2025-03-01,57.73,0,0.0,0
STU0017,10,2025-03-08,50.28,0,0.0,0
STU0017,11,2025-03-15,58.7,0,1.28,0
STU0017,12,2025-03-22,55.87,1,0.9,0
STU0018,1,2025-01-04,50.78,1,0.0,0
STU0018,2,2025-01-11,43.78,0,0.0,0
STU0018,3,2025-01-18,59.09,0,0.0,1
STU0018,4,2025-01-25,51.47,0,0.0,0
STU0018,5,2025-02-01,66.4,0,0.0,0
STU0018,6,2025-02-08,54.55,3,0.0,0
STU0018,7,2025-02-15,64.87,1,0.0,1
STU0018,8,2025-02-22,53.74,4,3.72,1
STU0018,9,2025-03-01,60.14,2,0.0,1
STU0018,10,2025-03-08,66.03,7,2.09,2
STU0018,11,2025-03-15,70.86,10,4.71,2
STU0018,12,2025-03-22,69.51,5,0.24,3
STU0019,1,2025-01-04,100.0,11,7.71,4
STU0019,2,2025-01-11,100.0,8,0.51,4
STU0019,3,2025-01-18,100.0,9,5.91,4
STU0019,4,2025-01-25,100.0,11,7.9,3
STU0019,5,2025-02-01,93.49,9,5.92,6
STU0019,6,2025-02-08,100.0,14,8.0,4
STU0019,7,2025-02-15,97.74,10,2.89,4
STU0019,8,2025-02-22,93.34,13,9.87,2
STU0019,9,2025-03-01,85.28,11,8.29,6
STU0019,10,2025-03-08,87.4,7,4.91,6
STU0019,11,2025-03-15,82.53,10,5.74,6
STU0019,12,2025-03-22,78.08,6,1.22,4
STU0020,1,2025-01-04,43.85,0,0.0,1
STU0020,2,2025-01-11,49.89,0,0.0,0
STU0020,3,2025-01-18,53.7,1,0.0,0
STU0020,4,2025-01-25,54.67,1,0.49,0
STU0020,5,2025-02-01,44.67,0,0.0,0
STU0020,6,2025-02-08,56.26,0,0.0,0
STU0020,7,2025-02-15,66.54,5,0.0,1
STU0020,8,2025-02-22,79.36,3,0.14,0
STU0020,9,2025-03-01,80.23,4,1.97,0
STU0020,10,2025-03-08,88.41,4,1.25,1
STU0020,11,2025-03-15,81.51,4,3.29,2
STU0020,12,2025-03-22,73.82,7,0.18,0
STU0021,1,2025-01-04,61.92,0,0.0,0
STU0021,2,2025-01-11,62.3,0,0.0,1
STU0021,3,2025-01-18,61.06,1,2.61,2
STU0021,4,2025-01-25,78.28,4,3.06,0
STU0021,5,2025-02-01,76.68,4,4.17,1
STU0021,6,2025-02-08,67.45,6,2.43,1
STU0021,7,2025-02-15,57.44,4,1.64,1
STU0021,8,2025-02-22,77.13,3,0.0,1
STU0021,9,2025-03-01,65.78,5,2.04,2
STU0021,10,2025-03-08,68.62,3,1.93,1
STU0021,11,2025-03-15,79.79,3,1.5,3
STU0021,12,2025-03-22,64.46,3,2.21,1
STU0022,1,2025-01-04,74.64,3,0.81,2
STU0022,2,2025-01-11,79.7,4,0.0,0
STU0022,3,2025-01-18,58.46,7,3.25,1
STU0022,4,2025-01-25,72.63,5,1.34,1
STU0022,5,2025-02-01,59.93,3,1.76,0
STU0022,6,2025-02-08,76.66,3,0.0,0
STU0022,7,2025-02-15,61.04,9,2.71,1
STU0022,8,2025-02-22,69.78,1,0.0,0
STU0022,9,2025-03-01,69.2,0,0.0,0
STU0022,10,2025-03-08,57.93,3,0.0,2
STU0022,11,2025-03-15,57.8,1,0.26,0
STU0022,12,2025-03-22,68.68,2,3.39,0
STU0023,1,2025-01-04,80.92,4,3.62,2
STU0023,2,2025-01-11,65.42,2,0.31,1
STU0023,3,2025-01-18,74.75,3,2.98,0
STU0023,4,2025-01-25,80.87,2,3.78,3
STU0023,5,2025-02-01,84.1,7,5.73,0
STU0023,6,2025-02-08,72.15,5,5.0,1
STU0023,7,2025-02-15,84.97,0,0.18,1
STU0023,8,2025-02-22,77.15,5,3.09,2
STU0023,9,2025-03-01,60.11,2,0.45,0
STU0023,10,2025-03-08,78.1,6,3.04,1
STU0023,11,2025-03-15,75.29,6,2.39,1
STU0023,12,2025-03-22,79.75,6,2.92,3
STU0024,1,2025-01-04,56.0,4,2.67,2
STU0024,2,2025-01-11,88.98,5,1.04,3
STU0024,3,2025-01-18,79.71,6,4.07,2
STU0024,4,2025-01-25,80.53,11,4.83,4
STU0024,5,2025-02-01,84.31,8,4.45,0
STU0024,6,2025-02-08,87.8,8,2.81,3
STU0024,7,2025-02-15,87.84,7,2.46,1
STU0024,8,2025-02-22,74.24,11,6.86,2
STU0024,9,2025-03-01,81.01,5,0.24,1
STU0024,10,2025-03-08,78.96,6,1.69,2
STU0024,11,2025-03-15,82.76,6,0.0,1
STU0024,12,2025-03-22,77.18,6,3.46,2
STU0025,1,2025-01-04,85.72,3,0.09,3
STU0025,2,2025-01-11,78.38,8,2.43,0
STU0025,3,2025-01-18,81.26,5,1.18,0
STU0025,4,2025-01-25,77.42,6,1.91,1
STU0025,5,2025-02-01,79.6,4,1.85,4
STU0025,6,2025-02-08,83.05,8,1.92,0
STU0025,7,2025-02-15,81.52,2,0.0,1
STU0025,8,2025-02-22,71.64,11,5.7,1
STU0025,9,2025-03-01,88.78,6,0.26,4
STU0025,10,2025-03-08,66.26,5,2.36,0
STU0025,11,2025-03-15,93.03,6,0.49,0
STU0025,12,2025-03-22,84.66,6,3.71,3
STU0026,1,2025-01-04,100.0,13,6.73,6
STU0026,2,2025-01-11,100.0,12,6.9,3
STU0026,3,2025-01-18,100.0,14,8.61,8
STU0026,4,2025-01-25,98.49,12,7.39,3
STU0026,5,2025-02-01,100.0,8,5.03,6
STU0026,6,2025-02-08,96.85,6,3.68,2
STU0026,7,2025-02-15,80.84,13,10.16,4
STU0026,8,2025-02-22,85.84,13,7.32,2
STU0026,9,2025-03-01,80.32,4,3.08,4
STU0026,10,2025-03-08,74.3,3,2.68,3
STU0026,11,2025-03-15,96.36,5,2.28,3
STU0026,12,2025-03-22,85.0,14,8.34,2
STU0027,1,2025-01-04,99.21,16,8.84,5
STU0027,2,2025-01-11,95.55,7,2.11,2
STU0027,3,2025-01-18,99.1,8,3.63,4
STU0027,4,2025-01-25,83.96,6,4.09,3
STU0027,5,2025-02-01,86.79,17,8.39,7
STU0027,6,2025-02-08,97.11,14,5.2,4
STU0027,7,2025-02-15,100.0,10,5.39,5
STU0027,8,2025-02-22,93.59,8,3.32,2
STU0027,9,2025-03-01,79.19,10,2.63,4
STU0027,10,2025-03-08,89.38,9,1.51,3
STU0027,11,2025-03-15,84.06,7,3.39,2
STU0027,12,2025-03-22,87.92,8,3.21,3
STU0028,1,2025-01-04,45.72,0,0.9,0
STU0028,2,2025-01-11,34.75,0,0.19,0
STU0028,3,2025-01-18,50.4,0,0.49,0
STU0028,4,2025-01-25,38.17,0,1.47,0
STU0028,5,2025-02-01,47.4,0,1.72,0
STU0028,6,2025-02-08,54.55,0,0.0,0
STU0028,7,2025-02-15,42.2,0,0.33,1
STU0028,8,2025-02-22,50.2,1,0.0,0
STU0028,9,2025-03-01,58.17,0,2.0,0
STU0028,10,2025-03-08,57.34,0,0.49,0
STU0028,11,2025-03-15,49.33,0,0.02,0
STU0028,12,2025-03-22,55.13,0,0.0,0
STU0029,1,2025-01-04,47.37,0,3.68,0
STU0029,2,2025-01-11,56.71,1,2.4,1
STU0029,3,2025-01-18,48.93,1,0.0,0
STU0029,4,2025-01-25,59.55,0,0.0,0
STU0029,5,2025-02-01,55.74,0,0.94,0
STU0029,6,2025-02-08,53.26,0,1.08,0
STU0029,7,2025-02-15,62.01,2,2.48,0
STU0029,8,2025-02-22,63.96,1,0.95,0
STU0029,9,2025-03-01,81.69,2,0.52,0
STU0029,10,2025-03-08,56.62,0,0.0,0
STU0029,11,2025-03-15,82.53,1,1.86,0
STU0029,12,2025-03-22,62.8,3,1.1,0
STU0030,1,2025-01-04,73.77,6,3.99,0
STU0030,2,2025-01-11,74.83,0,0.99,0
STU0030,3,2025-01-18,90.28,9,2.85,4
STU0030,4,2025-01-25,80.86,9,6.08,3
STU0030,5,2025-02-01,79.56,9,4.29,2
STU0030,6,2025-02-08,73.23,5,5.34,0
STU0030,7,2025-02-15,86.86,5,1.51,4
STU0030,8,2025-02-22,76.1,8,1.51,2
STU0030,9,2025-03-01,77.59,5,1.58,2
STU0030,10,2025-03-08,77.28,8,4.2,2
STU0030,11,2025-03-15,100.0,7,0.0,1
STU0030,12,2025-03-22,89.41,7,0.71,1
STU0031,1,2025-01-04,87.5,10,3.34,6
STU0031,2,2025-01-11,85.35,10,4.96,3
STU0031,3,2025-01-18,82.69,9,3.56,2
STU0031,4,2025-01-25,95.32,12,5.27,3
STU0031,5,2025-02-01,94.36,12,5.94,6
STU0031,6,2025-02-08,78.8,16,7.89,5
STU0031,7,2025-02-15,92.27,8,4.3,1
STU0031,8,2025-02-22,100.0,10,4.75,4
STU0031,9,2025-03-01,90.91,18,9.39,1
STU0031,10,2025-03-08,81.16,11,5.71,3
STU0031,11,2025-03-15,93.51,14,8.69,3
STU0031,12,2025-03-22,95.44,9,4.95,0
STU0032,1,2025-01-04,78.93,8,4.02,2
STU0032,2,2025-01-11,80.98,17,10.67,3
STU0032,3,2025-01-18,100.0,7,5.01,1
STU0032,4,2025-01-25,90.37,9,6.64,5
STU0032,5,2025-02-01,99.55,10,8.73,4
STU0032,6,2025-02-08,100.0,4,2.72,3
STU0032,7,2025-02-15,82.58,9,6.08,5
STU0032,8,2025-02-22,92.13,8,4.54,2
STU0032,9,2025-03-01,97.03,15,8.66,3
STU0032,10,2025-03-08,89.36,11,6.42,4
STU0032,11,2025-03-15,94.67,10,8.93,1
STU0032,12,2025-03-22,92.45,13,8.14,0
STU0033,1,2025-01-04,74.79,1,0.0,2
STU0033,2,2025-01-11,69.9,2,0.0,3
STU0033,3,2025-01-18,66.54,1,0.0,0
STU0033,4,2025-01-25,63.73,2,0.0,2
STU0033,5,2025-02-01,66.61,1,0.0,1
STU0033,6,2025-02-08,75.91,6,2.76,0
STU0033,7,2025-02-15,64.76,3,0.56,0
STU0033,8,2025-02-22,57.26,2,0.0,0
STU0033,9,2025-03-01,62.58,1,1.27,1
STU0033,10,2025-03-08,65.48,1,1.1,0
STU0033,11,2025-03-15,60.35,2,0.14,2
STU0033,12,2025-03-22,55.23,2,0.0,0
STU0034,1,2025-01-04,100.0,15,6.42,2
STU0034,2,2025-01-11,100.0,9,3.09,3
STU0034,3,2025-01-18,100.0,7,1.56,2
STU0034,4,2025-01-25,93.41,9,2.43,3
STU0034,5,2025-02-01,86.98,9,3.23,5
STU0034,6,2025-02-08,90.15,15,6.09,3
STU0034,7,2025-02-15,89.2,11,6.23,5
STU0034,8,2025-02-22,90.29,8,5.81,1
STU0034,9,2025-03-01,83.48,9,3.47,3
STU0034,10,2025-03-08,81.71,9,2.87,0
STU0034,11,2025-03-15,89.38,3,0.92,4
STU0034,12,2025-03-22,92.92,13,5.66,1
STU0035,1,2025-01-04,86.77,7,2.65,0
STU0035,2,2025-01-11,78.64,3,0.82,3
STU0035,3,2025-01-18,72.61,6,4.83,2
STU0035,4,2025-01-25,67.02,6,3.48,1
STU0035,5,2025-02-01,64.69,3,5.33,4
STU0035,6,2025-02-08,64.64,1,0.99,1
STU0035,7,2025-02-15,67.17,5,2.01,3
STU0035,8,2025-02-22,76.3,5,4.51,2
STU0035,9,2025-03-01,70.82,4,3.17,3
STU0035,10,2025-03-08,82.55,3,0.0,0
STU0035,11,2025-03-15,69.5,4,1.94,0
STU0035,12,2025-03-22,87.2,3,3.06,2
STU0036,1,2025-01-04,92.49,5,0.9,1
STU0036,2,2025-01-11,65.54,3,0.0,1
STU0036,3,2025-01-18,81.19,6,4.41,0
STU0036,4,2025-01-25,73.29,5,2.37,0
STU0036,5,2025-02-01,78.13,6,3.51,2
STU0036,6,2025-02-08,75.97,5,2.06,4
STU0036,7,2025-02-15,83.9,5,1.97,1
STU0036,8,2025-02-22,80.87,4,3.62,1
STU0036,9,2025-03-01,75.26,4,4.1,0
STU0036,10,2025-03-08,72.08,4,1.18,1
STU0036,11,2025-03-15,91.95,3,0.12,1
STU0036,12,2025-03-22,83.74,5,3.62,4
STU0037,1,2025-01-04,92.11,14,8.9,3
STU0037,2,2025-01-11,93.39,8,6.89,3
STU0037,3,2025-01-18,87.59,7,3.14,3
STU0037,4,2025-01-25,93.01,9,4.47,1
STU0037,5,2025-02-01,79.53,14,9.22,0
STU0037,6,2025-02-08,92.99,5,0.82,2
STU0037,7,2025-02-15,88.9,6,4.2,0
STU0037,8,2025-02-22,63.97,5,5.34,0
STU0037,9,2025-03-01,68.92,10,7.15,0
STU0037,10,2025-03-08,81.86,1,2.02,2
STU0037,11,2025-03-15,61.0,2,0.0,0
STU0037,12,2025-03-22,78.45,4,3.93,0
STU0038,1,2025-01-04,75.49,3,0.0,0
STU0038,2,2025-01-11,67.25,0,0.0,0
STU0038,3,2025-01-18,61.18,4,0.9,0
STU0038,4,2025-01-25,75.52,2,0.0,1
STU0038,5,2025-02-01,68.84,2,0.0,0
STU0038,6,2025-02-08,67.22,2,0.52,1
STU0038,7,2025-02-15,72.88,3,0.0,0
STU0038,8,2025-02-22,80.43,1,0.0,3
STU0038,9,2025-03-01,72.64,4,0.22,0
STU0038,10,2025-03-08,68.47,7,3.63,0
STU0038,11,2025-03-15,73.38,3,2.56,2
STU0038,12,2025-03-22,60.36,6,1.84,0
STU0039,1,2025-01-04,81.54,3,0.0,0
STU0039,2,2025-01-11,63.86,4,0.35,1
STU0039,3,2025-01-18,69.41,3,1.98,1
STU0039,4,2025-01-25,60.39,10,7.36,2
STU0039,5,2025-02-01,68.67,8,4.78,2
STU0039,6,2025-02-08,88.4,6,2.83,0
STU0039,7,2025-02-15,79.13,6,3.65,1
STU0039,8,2025-02-22,61.05,4,1.44,0
STU0039,9,2025-03-01,79.53,5,0.24,0
STU0039,10,2025-03-08,81.54,6,3.48,2
STU0039,11,2025-03-15,75.16,5,1.46,4
STU0039,12,2025-03-22,68.31,2,1.98,1
STU0040,1,2025-01-04,71.82,1,0.0,2
STU0040,2,2025-01-11,72.97,4,1.09,1
STU0040,3,2025-01-18,82.58,4,1.33,0
STU0040,4,2025-01-25,68.68,3,0.0,0
STU0040,5,2025-02-01,80.83,3,1.9,1
STU0040,6,2025-02-08,68.1,3,0.0,0
STU0040,7,2025-02-15,77.02,6,0.25,1
STU0040,8,2025-02-22,65.01,0,0.0,2
STU0040,9,2025-03-01,80.74,5,2.82,0
STU0040,10,2025-03-08,75.8,5,0.0,0
STU0040,11,2025-03-15,82.77,4,1.58,2
STU0040,12,2025-03-22,86.82,11,6.88,3
STU0041,1,2025-01-04,61.27,2,2.31,0
STU0041,2,2025-01-11,56.12,1,0.0,0
STU0041,3,2025-01-18,69.29,1,1.43,0
STU0041,4,2025-01-25,60.45,0,0.0,0
STU0041,5,2025-02-01,59.3,0,0.0,0
STU0041,6,2025-02-08,69.86,2,0.0,0
STU0041,7,2025-02-15,63.22,3,2.75,0
STU0041,8,2025-02-22,71.76,2,1.5,0
STU0041,9,2025-03-01,62.67,5,0.0,0
STU0041,10,2025-03-08,67.01,2,1.11,0
STU0041,11,2025-03-15,78.76,3,2.58,0
STU0041,12,2025-03-22,70.1,2,0.0,1
STU0042,1,2025-01-04,93.07,5,2.74,5
STU0042,2,2025-01-11,86.56,14,7.44,2
STU0042,3,2025-01-18,84.74,6,5.32,5
STU0042,4,2025-01-25,91.06,6,4.42,2
STU0042,5,2025-02-01,93.43,11,6.13,4
STU0042,6,2025-02-08,88.26,9,4.69,3
STU0042,7,2025-02-15,91.4,6,2.35,1
STU0042,8,2025-02-22,87.02,4,0.0,2
STU0042,9,2025-03-01,68.87,6,4.14,2
STU0042,10,2025-03-08,70.91,6,3.87,2
STU0042,11,2025-03-15,55.01,1,0.66,0
STU0042,12,2025-03-22,70.7,2,2.27,1
STU0043,1,2025-01-04,71.99,2,0.0,3
STU0043,2,2025-01-11,77.02,5,0.66,3
STU0043,3,2025-01-18,89.83,6,3.67,1
STU0043,4,2025-01-25,84.29,8,3.09,0
STU0043,5,2025-02-01,91.39,4,1.28,2
STU0043,6,2025-02-08,71.18,2,0.41,3
STU0043,7,2025-02-15,81.84,7,1.88,4
STU0043,8,2025-02-22,95.44,8,3.27,5
STU0043,9,2025-03-01,87.32,8,3.33,1
STU0043,10,2025-03-08,80.56,11,6.26,1
STU0043,11,2025-03-15,95.06,6,1.64,4
STU0043,12,2025-03-22,88.34,5,1.29,5
STU0044,1,2025-01-04,77.56,7,7.19,3
STU0044,2,2025-01-11,87.93,11,4.98,4
STU0044,3,2025-01-18,96.93,1,0.0,2
STU0044,4,2025-01-25,88.41,9,3.46,2
STU0044,5,2025-02-01,90.76,12,6.77,0
STU0044,6,2025-02-08,77.29,12,6.9,4
STU0044,7,2025-02-15,79.99,10,3.75,0
STU0044,8,2025-02-22,78.84,7,1.23,2
STU0044,9,2025-03-01,83.05,7,1.35,1
STU0044,10,2025-03-08,86.26,9,2.4,0
STU0044,11,2025-03-15,88.45,6,3.52,5
STU0044,12,2025-03-22,92.54,7,2.9,3
STU0045,1,2025-01-04,79.89,13,5.4,1
STU0045,2,2025-01-11,91.2,7,2.03,3
STU0045,3,2025-01-18,94.2,6,2.58,4
STU0045,4,2025-01-25,68.19,14,8.09,2
STU0045,5,2025-02-01,80.38,7,4.14,3
STU0045,6,2025-02-08,90.43,10,4.53,1
STU0045,7,2025-02-15,78.77,7,0.86,2
