intervention_id,student_id,intervention_date,intervention_type,reason,student_responded,response_time_hours,engagement_improved
INT0167,STU0550,2024-12-31,SMS,Declining Grades,True,135,False
INT0168,STU0512,2025-01-08,Phone Call,No VLE Activity,True,139,True
INT0169,STU0475,2025-03-04,SMS,Mental Health Concern,True,22,False
INT0170,STU0368,2024-12-29,Email,Mental Health Concern,False,,False
INT0171,STU0146,2025-02-16,Phone Call,Mental Health Concern,True,164,True
INT0172,STU0541,2025-01-01,Email,Missed Deadline,True,31,True
INT0173,STU0444,2024-12-24,SMS,Declining Grades,False,,False
INT0174,STU0212,2025-01-19,Email,Mental Health Concern,False,,False
INT0175,STU0478,2025-02-25,In-Person Meeting,Low Attendance,True,149,False
INT0176,STU0364,2025-01-29,Email,Missed Deadline,True,144,False
INT0177,STU0397,2025-01-25,Phone Call,Declining Grades,False,,False
INT0178,STU0369,2025-03-06,Email,Low Attendance,True,99,True
INT0179,STU0126,2025-02-24,Phone Call,Missed Deadline,True,115,False
INT0180,STU0303,2025-01-22,SMS,Low Attendance,False,,False
INT0181,STU0043,2025-03-09,In-Person Meeting,Low Attendance,False,,False
INT0182,STU0073,2025-01-28,SMS,Missed Deadline,False,,True
INT0183,STU0538,2025-03-09,In-Person Meeting,No VLE Activity,False,,False
INT0184,STU0239,2025-01-16,Phone Call,Missed Deadline,False,,False
INT0185,STU0569,2025-02-13,SMS,Mental Health Concern,True,31,False
INT0186,STU0043,2025-01-13,Email,Mental Health Concern,False,,False
INT0187,STU0403,2025-02-17,Email,Declining Grades,False,,False
INT0188,STU0320,2025-01-08,Phone Call,Mental Health Concern,True,68,False
INT0189,STU0014,2025-01-26,SMS,No VLE Activity,True,130,True
INT0190,STU0272,2024-12-26,SMS,Low Attendance,True,102,True
INT0191,STU0425,2025-02-09,Phone Call,No VLE Activity,False,,True
INT0192,STU0372,2025-03-01,SMS,Missed Deadline,False,,False
INT0193,STU0302,2025-01-15,Email,Mental Health Concern,True,61,True
INT0194,STU0415,2025-01-07,SMS,Mental Health Concern,False,,False
INT0195,STU0471,2025-02-01,In-Person Meeting,Missed Deadline,False,,False
INT0196,STU0372,2025-03-07,Phone Call,No VLE Activity,True,161,False
INT0197,STU0345,2025-01-12,Phone Call,Mental Health Concern,True,126,True
INT0198,STU0387,2025-03-06,Email,No VLE Activity,False,,True
INT0199,STU0212,2025-01-12,SMS,Declining Grades,True,64,True
INT0200,STU0013,2024-12-30,Phone Call,Low Attendance,True,16,True
INT0201,STU0101,2025-01-06,SMS,Missed Deadline,True,39,True
INT0202,STU0226,2025-02-16,Email,No VLE Activity,True,35,True
INT0203,STU0194,2024-12-23,SMS,Mental Health Concern,True,108,True
INT0204,STU0249,2025-02-16,Email,Mental Health Concern,True,128,False
INT0205,STU0384,2025-02-05,SMS,Declining Grades,False,,False
INT0206,STU0408,2025-01-22,Email,No VLE Activity,True,114,True
INT0207,STU0542,2025-03-14,In-Person Meeting,Low Attendance,False,,False
INT0208,STU0203,2025-02-05,Email,Mental Health Concern,False,,False
INT0209,STU0551,2025-01-18,Email,Missed Deadline,False,,False
INT0210,STU0333,2025-02-27,Email,Low Attendance,True,54,True
INT0211,STU0008,2024-12-27,Email,No VLE Activity,True,97,True
INT0212,STU0203,2025-01-13,Email,Declining Grades,True,150,True
INT0213,STU0395,2025-01-21,SMS,Missed Deadline,True,23,True
INT0214,STU0436,2025-01-21,SMS,Mental Health Concern,True,131,False
INT0215,STU0124,2025-02-08,Phone Call,Low Attendance,False,,False
INT0216,STU0043,2025-03-17,Email,Low Attendance,False,,False
INT0217,STU0270,2025-02-24,Email,Missed Deadline,False,,False
INT0218,STU0502,2025-01-19,SMS,Low Attendance,False,,False
INT0219,STU0004,2025-01-12,Phone Call,No VLE Activity,True,55,False
INT0220,STU0384,2025-02-27,SMS,Mental Health Concern,True,75,True
INT0221,STU0312,2024-12-28,In-Person Meeting,Declining Grades,False,,False
INT0222,STU0052,2025-03-15,Email,No VLE Activity,True,86,False
INT0223,STU0046,2025-03-19,SMS,Mental Health Concern,True,113,True
INT0224,STU0331,2024-12-24,Email,Mental Health Concern,False,,False
INT0225,STU0126,2025-03-19,In-Person Meeting,Mental Health Concern,False,,True
INT0226,STU0399,2025-01-07,Email,Declining Grades,False,,True
INT0227,STU0383,2025-03-08,Email,Missed Deadline,True,168,True
INT0228,STU0216,2025-02-17,Email,Declining Grades,True,106,True
INT0229,STU0402,2025-02-28,Email,No VLE Activity,False,,False
INT0230,STU0063,2025-01-21,SMS,Low Attendance,True,13,True
INT0231,STU0579,2025-03-05,SMS,Low Attendance,True,83,True
INT0232,STU0044,2025-02-11,SMS,Missed Deadline,True,7,True
INT0233,STU0028,2025-01-01,SMS,Declining Grades,False,,False
INT0234,STU0139,2024-12-30,Phone Call,No VLE Activity,True,148,True
INT0235,STU0340,2024-12-28,Email,Missed Deadline,True,144,True
INT0236,STU0507,2025-02-22,Email,Low Attendance,False,,False
INT0237,STU0540,2025-02-15,SMS,Low Attendance,True,59,True
INT0238,STU0333,2025-03-07,Phone Call,No VLE Activity,False,,False
INT0239,STU0063,2025-02-10,Phone Call,Missed Deadline,False,,False
INT0240,STU0131,2025-01-17,SMS,Mental Health Concern,True,122,True
INT0241,STU0066,2025-03-22,Email,Mental Health Concern,True,25,True
INT0242,STU0249,2025-02-06,Email,Mental Health Concern,False,,False
INT0243,STU0148,2025-01-19,Email,Mental Health Concern,True,167,True
INT0244,STU0507,2025-02-25,In-Person Meeting,Mental Health Concern,True,130,True
INT0245,STU0044,2024-12-27,SMS,Mental Health Concern,False,,False
INT0246,STU0312,2025-01-30,Phone Call,Declining Grades,False,,False
INT0247,STU0142,2025-02-15,Email,Low Attendance,False,,False
INT0248,STU0387,2025-01-28,SMS,Low Attendance,False,,False
INT0249,STU0530,2025-02-28,SMS,Declining Grades,True,118,True
INT0250,STU0467,2024-12-28,Email,Missed Deadline,True,42,True
INT0251,STU0048,2025-01-22,SMS,No VLE Activity,True,33,True
INT0252,STU0046,2025-02-11,SMS,Missed Deadline,True,114,False
INT0253,STU0477,2025-02-10,Email,Low Attendance,False,,False
INT0254,STU0372,2025-02-14,In-Person Meeting,Low Attendance,True,114,False
INT0255,STU0403,2025-01-06,Phone Call,Low Attendance,False,,False
INT0256,STU0563,2025-01-21,Email,Low Attendance,False,,False
INT0257,STU0058,2025-02-07,Email,Missed Deadline,True,116,False
INT0258,STU0141,2025-02-05,In-Person Meeting,Low Attendance,True,168,True
INT0259,STU0107,2025-01-20,SMS,Declining Grades,False,,True
INT0260,STU0137,2025-02-18,In-Person Meeting,Mental Health Concern,True,144,False
INT0261,STU0121,2025-03-22,Email,Missed Deadline,True,145,True
INT0262,STU0314,2024-12-22,In-Person Meeting,Declining Grades,True,162,True
INT0263,STU0015,2025-01-25,In-Person Meeting,Declining Grades,False,,False
INT0264,STU0580,2025-02-15,SMS,Declining Grades,False,,False
INT0265,STU0314,2025-01-06,Phone Call,Mental Health Concern,True,128,True
INT0266,STU0060,2025-02-21,Email,Mental Health Concern,False,,False
INT0267,STU0118,2024-12-24,Email,Low Attendance,True,67,True
INT0268,STU0530,2025-01-22,Email,Mental Health Concern,True,154,False
INT0269,STU0350,2025-02-05,Email,Declining Grades,True,13,False
INT0270,STU0189,2025-03-20,SMS,Mental Health Concern,False,,False
INT0271,STU0506,2025-01-16,Email,Missed Deadline,False,,False
INT0272,STU0550,2025-03-22,Email,Mental Health Concern,False,,False
INT0273,STU0519,2025-02-12,SMS,Missed Deadline,True,13,False
INT0274,STU0587,2024-12-23,SMS,No VLE Activity,False,,False
INT0275,STU0168,2025-01-16,SMS,Declining Grades,True,98,False
INT0276,STU0351,2025-03-12,Phone Call,Low Attendance,True,146,True
INT0277,STU0196,2025-03-07,SMS,Missed Deadline,False,,False
INT0278,STU0303,2025-02-03,Email,Low Attendance,True,77,True
INT0279,STU0224,2024-12-29,Email,Missed Deadline,True,149,True
INT0280,STU0506,2025-02-13,SMS,No VLE Activity,True,52,True
INT0281,STU0183,2025-01-16,SMS,Low Attendance,True,166,False
INT0282,STU0146,2025-01-11,SMS,Missed Deadline,False,,False
INT0283,STU0013,2025-01-05,SMS,Missed Deadline,True,147,False
INT0284,STU0535,2025-03-17,Email,No VLE Activity,False,,False
INT0285,STU0029,2025-01-29,Email,Low Attendance,False,,True
INT0286,STU0274,2025-03-07,Email,Declining Grades,True,39,True
INT0287,STU0133,2025-03-17,Email,Mental Health Concern,True,87,True
