student_id,target,rank,feature,shap_value,direction
STU0014,withdrew,3,Lecture materials accessed (last 4w),-0.0458,-
STU0014,withdrew,4,Past interventions that improved engagement,0.0369,+
STU0014,withdrew,5,VLE hours last week,-0.0336,-
STU0015,withdrew,1,Lecture materials accessed (last 4w),0.0668,+
STU0015,withdrew,2,Recent attendance (4-week avg),0.0528,+
STU0015,withdrew,3,VLE logins last week,0.0357,+
STU0015,withdrew,4,Weeks since last VLE login,0.0296,+
STU0015,withdrew,5,Weeks with no VLE activity,0.0272,+
STU0016,withdrew,1,Lecture materials accessed (last 4w),-0.061,-
STU0016,withdrew,2,Recent attendance (4-week avg),-0.0514,-
STU0016,withdrew,3,VLE logins last week,-0.0427,-
STU0016,withdrew,4,Past interventions received,-0.0314,-
STU0016,withdrew,5,Most recent assessment grade,-0.0287,-
STU0017,withdrew,1,Lecture materials accessed (last 4w),0.0702,+
STU0017,withdrew,2,Recent attendance (4-week avg),0.069,+
STU0017,withdrew,3,Most recent assessment grade,0.035,+
STU0017,withdrew,4,Weeks with no VLE activity,0.0291,+
STU0017,withdrew,5,VLE login volatility,0.0262,+
STU0018,withdrew,1,Lecture materials accessed (last 4w),-0.0771,-
STU0018,withdrew,2,Past interventions received,-0.0332,-
STU0018,withdrew,3,Recent attendance (4-week avg),-0.0265,-
STU0018,withdrew,4,Weeks with no VLE activity,0.0261,+
STU0018,withdrew,5,VLE logins last week,-0.0258,-
STU0019,withdrew,1,Lecture materials accessed (last 4w),-0.077,-
STU0019,withdrew,2,Recent attendance (4-week avg),-0.0644,-
STU0019,withdrew,3,Past interventions received,-0.0353,-
STU0019,withdrew,4,VLE logins last week,-0.0276,-
STU0019,withdrew,5,Unexcused absences (12-week count),-0.0256,-
STU0020,withdrew,1,Recent attendance (4-week avg),-0.0608,-
STU0020,withdrew,2,Lecture materials accessed (last 4w),-0.0471,-
STU0020,withdrew,3,VLE logins last week,-0.0378,-
STU0020,withdrew,4,Past interventions received,-0.0322,-
STU0020,withdrew,5,Weeks with no VLE activity,0.0273,+
STU0021,withdrew,1,Lecture materials accessed (last 4w),-0.0808,-
STU0021,withdrew,2,Recent attendance (4-week avg),-0.0522,-
STU0021,withdrew,3,Past interventions received,-0.0347,-
STU0021,withdrew,4,Most recent assessment grade,-0.0293,-
STU0021,withdrew,5,Unexcused absences (12-week count),0.0277,+
STU0022,withdrew,1,Lecture materials accessed (last 4w),0.0837,+
STU0022,withdrew,2,Recent attendance (4-week avg),0.0554,+
STU0022,withdrew,3,Most recent assessment grade,0.0473,+
STU0022,withdrew,4,Mean grade across modules,0.0241,+
STU0022,withdrew,5,Past interventions received,-0.0225,-
STU0023,withdrew,1,Lecture materials accessed (last 4w),-0.0679,-
STU0023,withdrew,2,Recent attendance (4-week avg),-0.0445,-
STU0023,withdrew,3,Past interventions received,-0.0364,-
STU0023,withdrew,4,Most recent assessment grade,-0.0322,-
STU0023,withdrew,5,VLE logins last week,-0.024,-
STU0024,withdrew,1,Lecture materials accessed (last 4w),-0.0729,-
STU0024,withdrew,2,Recent attendance (4-week avg),-0.059,-
STU0024,withdrew,3,Past interventions received,-0.0314,-
STU0024,withdrew,4,VLE logins last week,-0.0299,-
STU0024,withdrew,5,Most recent assessment grade,-0.0274,-
STU0025,withdrew,1,Lecture materials accessed (last 4w),-0.0721,-
STU0025,withdrew,2,Recent attendance (4-week avg),-0.0582,-
STU0025,withdrew,3,Most recent assessment grade,-0.0297,-
STU0025,withdrew,4,Past interventions received,-0.0289,-
STU0025,withdrew,5,VLE logins last week,-0.0253,-
STU0026,withdrew,1,Lecture materials accessed (last 4w),-0.0705,-
STU0026,withdrew,2,Recent attendance (4-week avg),-0.0581,-
STU0026,withdrew,3,VLE logins last week,-0.0487,-
STU0026,withdrew,4,Past interventions received,-0.0309,-
STU0026,withdrew,5,VLE hours last week,-0.0304,-
STU0027,withdrew,1,Lecture materials accessed (last 4w),-0.0729,-
STU0027,withdrew,2,Recent attendance (4-week avg),-0.0602,-
STU0027,withdrew,3,VLE logins last week,-0.0465,-
STU0027,withdrew,4,Past interventions received,-0.0327,-
STU0027,withdrew,5,Most recent assessment grade,-0.031,-
STU0028,withdrew,1,Lecture materials accessed (last 4w),0.0709,+
STU0028,withdrew,2,Recent attendance (4-week avg),0.0617,+
STU0028,withdrew,3,VLE logins last week,0.0385,+
STU0028,withdrew,4,Most recent assessment grade,0.0363,+
STU0028,withdrew,5,Weeks with no VLE activity,0.0331,+
STU0029,withdrew,1,Lecture materials accessed (last 4w),0.074,+
STU0029,withdrew,2,Recent attendance (4-week avg),-0.0451,-
STU0029,withdrew,3,Most recent assessment grade,0.032,+
STU0029,withdrew,4,Past interventions that improved engagement,0.0294,+
STU0029,withdrew,5,Weeks with no VLE activity,0.0261,+
STU0030,withdrew,1,Lecture materials accessed (last 4w),-0.0697,-
STU0030,withdrew,2,Recent attendance (4-week avg),-0.0589,-
STU0030,withdrew,3,VLE logins last week,-0.0357,-
STU0030,withdrew,4,Past interventions received,-0.0334,-
STU0030,withdrew,5,Most recent assessment grade,-0.032,-
STU0031,withdrew,1,Lecture materials accessed (last 4w),-0.0679,-
STU0031,withdrew,2,Recent attendance (4-week avg),-0.0526,-
STU0031,withdrew,3,VLE logins last week,-0.045,-
STU0031,withdrew,4,Most recent assessment grade,-0.0283,-
STU0031,withdrew,5,Past interventions received,-0.0283,-
STU0032,withdrew,1,Lecture materials accessed (last 4w),-0.066,-
STU0032,withdrew,2,Recent attendance (4-week avg),-0.0529,-
STU0032,withdrew,3,VLE logins last week,-0.0428,-
STU0032,withdrew,4,Most recent assessment grade,-0.0283,-
STU0032,withdrew,5,Past interventions received,-0.0269,-
STU0033,withdrew,1,Recent attendance (4-week avg),0.0754,+
STU0033,withdrew,2,Lecture materials accessed (last 4w),-0.0406,-
STU0033,withdrew,3,VLE login volatility,0.0274,+
STU0033,withdrew,4,Unexcused absences (12-week count),0.0239,+
STU0033,withdrew,5,Most recent assessment grade,0.0221,+
STU0034,withdrew,1,Lecture materials accessed (last 4w),-0.0673,-
STU0034,withdrew,2,Recent attendance (4-week avg),-0.0581,-
STU0034,withdrew,3,VLE logins last week,-0.0499,-
STU0034,withdrew,4,Most recent assessment grade,-0.0316,-
STU0034,withdrew,5,Past interventions received,-0.0298,-
STU0035,withdrew,1,Lecture materials accessed (last 4w),-0.0786,-
STU0035,withdrew,2,Recent attendance (4-week avg),-0.0579,-
STU0035,withdrew,3,Past interventions received,-0.036,-
STU0035,withdrew,4,Weeks with no VLE activity,-0.0254,-
STU0035,withdrew,5,Most recent assessment grade,-0.0253,-
STU0036,withdrew,1,Lecture materials accessed (last 4w),-0.0782,-
STU0036,withdrew,2,Recent attendance (4-week avg),-0.0612,-
STU0036,withdrew,3,VLE login volatility,0.0354,+
STU0036,withdrew,4,Most recent assessment grade,-0.0298,-
STU0036,withdrew,5,Past interventions received,-0.0284,-
STU0037,withdrew,1,Lecture materials accessed (last 4w),0.0673,+
STU0037,withdrew,2,Past interventions received,0.0651,+
STU0037,withdrew,3,Past interventions that improved engagement,0.0394,+
STU0037,withdrew,4,Recent attendance (4-week avg),-0.0301,-
STU0037,withdrew,5,Grade variance across modules,0.0217,+
STU0038,withdrew,1,Lecture materials accessed (last 4w),0.0775,+
STU0038,withdrew,2,Recent attendance (4-week avg),-0.0508,-
STU0038,withdrew,3,VLE logins last week,-0.034,-
STU0038,withdrew,4,Past interventions received,-0.0301,-
STU0038,withdrew,5,Most recent assessment grade,0.0212,+
STU0039,withdrew,1,Lecture materials accessed (last 4w),-0.0829,-
STU0039,withdrew,2,Recent attendance (4-week avg),-0.0589,-
STU0039,withdrew,3,Most recent assessment grade,-0.0347,-
STU0039,withdrew,4,Past interventions received,-0.0307,-
STU0039,withdrew,5,Unexcused absences (12-week count),-0.0253,-
STU0040,withdrew,1,Lecture materials accessed (last 4w),-0.0686,-
STU0040,withdrew,2,Recent attendance (4-week avg),-0.0542,-
STU0040,withdrew,3,VLE logins last week,-0.0449,-
STU0040,withdrew,4,Past interventions received,-0.0299,-
STU0040,withdrew,5,VLE login volatility,-0.0249,-
STU0041,withdrew,1,Lecture materials accessed (last 4w),0.078,+
STU0041,withdrew,2,Recent attendance (4-week avg),-0.0596,-
STU0041,withdrew,3,Past interventions received,-0.0283,-
STU0041,withdrew,4,VLE login trend,-0.0264,-
STU0041,withdrew,5,On-time submissions,-0.0259,-
STU0042,withdrew,1,Lecture materials accessed (last 4w),-0.0859,-
STU0042,withdrew,2,Past interventions received,-0.0335,-
STU0042,withdrew,3,Most recent assessment grade,-0.0332,-
STU0042,withdrew,4,Unexcused absences (12-week count),-0.0259,-
STU0042,withdrew,5,Weeks with no VLE activity,-0.0246,-
STU0043,withdrew,1,Past interventions received,0.0794,+
STU0043,withdrew,2,Lecture materials accessed (last 4w),-0.0606,-
STU0043,withdrew,3,Recent attendance (4-week avg),-0.0496,-
STU0043,withdrew,4,Unexcused absences (12-week count),-0.027,-
STU0043,withdrew,5,VLE login volatility,-0.0217,-
STU0044,withdrew,1,Past interventions received,0.0821,+
STU0044,withdrew,2,Lecture materials accessed (last 4w),-0.0652,-
STU0044,withdrew,3,Recent attendance (4-week avg),-0.0508,-
STU0044,withdrew,4,Past interventions that improved engagement,0.049,+
STU0044,withdrew,5,VLE logins last week,-0.0374,-
STU0045,withdrew,1,Lecture materials accessed (last 4w),-0.0713,-
STU0045,withdrew,2,Recent attendance (4-week avg),-0.0516,-
STU0045,withdrew,3,Past interventions that improved engagement,0.0476,+
STU0045,withdrew,4,VLE logins last week,-0.0404,-
STU0045,withdrew,5,Most recent assessment grade,-0.0285,-
STU0046,withdrew,1,Past interventions received,0.0849,+
STU0046,withdrew,2,Lecture materials accessed (last 4w),-0.0744,-
STU0046,withdrew,3,Recent attendance (4-week avg),-0.0487,-
STU0046,withdrew,4,Past interventions that improved engagement,0.0411,+
STU0046,withdrew,5,VLE logins last week,-0.0369,-
STU0047,withdrew,1,Lecture materials accessed (last 4w),-0.0686,-
STU0047,withdrew,2,Recent attendance (4-week avg),-0.0537,-
STU0047,withdrew,3,VLE logins last week,-0.042,-
STU0047,withdrew,4,Most recent assessment grade,-0.0312,-
STU0047,withdrew,5,Past interventions received,-0.0282,-
STU0048,withdrew,1,Lecture materials accessed (last 4w),0.0624,+
STU0048,withdrew,2,Past interventions that improved engagement,0.033,+
STU0048,withdrew,3,VLE hours trend,-0.0271,-
STU0048,withdrew,4,VLE login volatility,-0.0261,-
STU0048,withdrew,5,Previous semester GPA,-0.0225,-
STU0049,withdrew,1,Lecture materials accessed (last 4w),-0.072,-
STU0049,withdrew,2,Recent attendance (4-week avg),-0.0638,-
STU0049,withdrew,3,Past interventions received,-0.0344,-
STU0049,withdrew,4,Unexcused absences (12-week count),-0.0287,-
STU0049,withdrew,5,VLE login volatility,-0.027,-
STU0050,withdrew,1,Lecture materials accessed (last 4w),-0.0546,-
STU0050,withdrew,2,Recent attendance (4-week avg),0.0498,+
STU0050,withdrew,3,Weeks with no VLE activity,0.0269,+
STU0050,withdrew,4,Past interventions received,-0.0266,-
STU0050,withdrew,5,VLE hours last week,-0.0239,-
STU0051,withdrew,1,Lecture materials accessed (last 4w),-0.0691,-
STU0051,withdrew,2,Recent attendance (4-week avg),-0.0534,-
STU0051,withdrew,3,VLE logins last week,-0.044,-
STU0051,withdrew,4,Past interventions received,-0.0325,-
STU0051,withdrew,5,Most recent assessment grade,-0.0285,-
STU0052,withdrew,1,Lecture materials accessed (last 4w),-0.0612,-
STU0052,withdrew,2,Recent attendance (4-week avg),-0.0471,-
STU0052,withdrew,3,Past interventions received,0.0307,+
STU0052,withdrew,4,VLE logins last week,-0.0267,-
STU0052,withdrew,5,VLE hours last week,0.0218,+
STU0053,withdrew,1,Lecture materials accessed (last 4w),-0.0691,-
STU0053,withdrew,2,Recent attendance (4-week avg),-0.0578,-
STU0053,withdrew,3,VLE logins last week,-0.0461,-
STU0053,withdrew,4,Past interventions received,-0.031,-
STU0053,withdrew,5,Most recent assessment grade,-0.0304,-
STU0054,withdrew,1,Recent attendance (4-week avg),0.0662,+
STU0054,withdrew,2,Lecture materials accessed (last 4w),0.0623,+
STU0054,withdrew,3,VLE logins last week,0.0417,+
STU0054,withdrew,4,Most recent assessment grade,0.0352,+
STU0054,withdrew,5,Weeks since last VLE login,0.033,+
STU0055,withdrew,1,Lecture materials accessed (last 4w),-0.0768,-
STU0055,withdrew,2,Recent attendance (4-week avg),-0.0464,-
STU0055,withdrew,3,Past interventions received,-0.0341,-
STU0055,withdrew,4,Grade variance across modules,0.0286,+
STU0055,withdrew,5,Unexcused absences (12-week count),0.0257,+
STU0056,withdrew,1,Lecture materials accessed (last 4w),-0.0667,-
STU0056,withdrew,2,Recent attendance (4-week avg),-0.0568,-
STU0056,withdrew,3,VLE logins last week,-0.0439,-
STU0056,withdrew,4,Most recent assessment grade,-0.0301,-
STU0056,withdrew,5,Past interventions received,-0.0282,-
STU0057,withdrew,1,Lecture materials accessed (last 4w),-0.0739,-
STU0057,withdrew,2,Recent attendance (4-week avg),-0.0599,-
STU0057,withdrew,3,VLE logins last week,-0.0449,-
STU0057,withdrew,4,Past interventions received,-0.0308,-
STU0057,withdrew,5,Most recent assessment grade,-0.0302,-
STU0058,withdrew,1,Past interventions received,0.0816,+
STU0058,withdrew,2,Lecture materials accessed (last 4w),-0.0728,-
STU0058,withdrew,3,Past interventions that improved engagement,0.0445,+
STU0058,withdrew,4,Recent attendance (4-week avg),-0.0352,-
STU0058,withdrew,5,Most recent assessment grade,-0.0262,-
STU0059,withdrew,1,Lecture materials accessed (last 4w),-0.0767,-
STU0059,withdrew,2,Recent attendance (4-week avg),-0.0561,-
STU0059,withdrew,3,Past interventions received,-0.0357,-
STU0059,withdrew,4,Weeks with no VLE activity,-0.0256,-
STU0059,withdrew,5,VLE login volatility,-0.025,-
STU0060,withdrew,1,Lecture materials accessed (last 4w),-0.0516,-
STU0060,withdrew,2,Most recent assessment grade,-0.0328,-
STU0060,withdrew,3,Previous semester GPA,-0.0271,-
STU0060,withdrew,4,Grade variance across modules,-0.0262,-
STU0060,withdrew,5,Recent attendance (4-week avg),-0.026,-
STU0061,withdrew,1,Lecture materials accessed (last 4w),-0.0677,-
STU0061,withdrew,2,Recent attendance (4-week avg),-0.05,-
STU0061,withdrew,3,VLE logins last week,-0.0485,-
STU0061,withdrew,4,Past interventions received,-0.0298,-
STU0061,withdrew,5,VLE login volatility,-0.0244,-
STU0062,withdrew,1,Lecture materials accessed (last 4w),-0.0656,-
STU0062,withdrew,2,Recent attendance (4-week avg),-0.0504,-
STU0062,withdrew,3,Past interventions that improved engagement,0.0417,+
STU0062,withdrew,4,VLE logins last week,-0.034,-
STU0062,withdrew,5,Unexcused absences (12-week count),-0.0265,-
STU0063,withdrew,1,Past interventions received,0.0805,+
STU0063,withdrew,2,Lecture materials accessed (last 4w),-0.068,-
STU0063,withdrew,3,Recent attendance (4-week avg),-0.051,-
STU0063,withdrew,4,Past interventions that improved engagement,0.0499,+
STU0063,withdrew,5,VLE logins last week,-0.0365,-
STU0064,withdrew,1,Lecture materials accessed (last 4w),-0.0797,-
STU0064,withdrew,2,Recent attendance (4-week avg),-0.0607,-
STU0064,withdrew,3,Past interventions received,-0.0346,-
STU0064,withdrew,4,Unexcused absences (12-week count),-0.028,-
STU0064,withdrew,5,VLE login volatility,-0.0269,-
STU0065,withdrew,1,Lecture materials accessed (last 4w),-0.0931,-
STU0065,withdrew,2,Recent attendance (4-week avg),-0.0579,-
STU0065,withdrew,3,VLE logins last week,-0.0364,-
STU0065,withdrew,4,Past interventions received,-0.0302,-
STU0065,withdrew,5,VLE login volatility,-0.0283,-
STU0066,withdrew,1,Recent attendance (4-week avg),0.062,+
STU0066,withdrew,2,Lecture materials accessed (last 4w),0.0603,+
STU0066,withdrew,3,Past interventions received,0.0412,+
STU0066,withdrew,4,Most recent assessment grade,-0.0341,-
STU0066,withdrew,5,Past interventions that improved engagement,0.0286,+
STU0067,withdrew,1,Lecture materials accessed (last 4w),-0.0678,-
STU0067,withdrew,2,Recent attendance (4-week avg),-0.0604,-
STU0067,withdrew,3,VLE logins last week,-0.034,-
STU0067,withdrew,4,Past interventions received,-0.0332,-
STU0067,withdrew,5,Most recent assessment grade,-0.0292,-
STU0068,withdrew,1,Lecture materials accessed (last 4w),-0.0668,-
STU0068,withdrew,2,Recent attendance (4-week avg),-0.051,-
STU0068,withdrew,3,VLE logins last week,-0.0469,-
STU0068,withdrew,4,VLE hours last week,-0.0303,-
STU0068,withdrew,5,Most recent assessment grade,-0.027,-
STU0069,withdrew,1,Lecture materials accessed (last 4w),-0.1047,-
STU0069,withdrew,2,Past interventions received,-0.0306,-
STU0069,withdrew,3,Recent attendance (4-week avg),0.0278,+
STU0069,withdrew,4,Weeks with no VLE activity,-0.0262,-
STU0069,withdrew,5,VLE login volatility,-0.0257,-
STU0070,withdrew,1,Lecture materials accessed (last 4w),0.0603,+
STU0070,withdrew,2,Recent attendance (4-week avg),0.0567,+
STU0070,withdrew,3,VLE logins last week,0.0375,+
STU0070,withdrew,4,Most recent assessment grade,0.0367,+
STU0070,withdrew,5,Weeks with no VLE activity,0.0325,+
STU0071,withdrew,1,Lecture materials accessed (last 4w),-0.0994,-
STU0071,withdrew,2,Past interventions received,0.0573,+
STU0071,withdrew,3,Recent attendance (4-week avg),0.0544,+
STU0071,withdrew,4,On-time submissions,-0.0286,-
STU0071,withdrew,5,VLE login volatility,-0.0239,-
STU0072,withdrew,1,Lecture materials accessed (last 4w),-0.0674,-
STU0072,withdrew,2,Recent attendance (4-week avg),-0.056,-
STU0072,withdrew,3,VLE logins last week,-0.0447,-
STU0072,withdrew,4,Most recent assessment grade,-0.0299,-
STU0072,withdrew,5,Past interventions received,-0.0294,-
STU0073,withdrew,1,Lecture materials accessed (last 4w),-0.0938,-
STU0073,withdrew,2,Recent attendance (4-week avg),-0.048,-
STU0073,withdrew,3,Past interventions that improved engagement,0.0394,+
STU0073,withdrew,4,Unexcused absences (12-week count),-0.027,-
STU0073,withdrew,5,Weeks with no VLE activity,-0.0256,-
STU0074,withdrew,1,Recent attendance (4-week avg),0.0696,+
STU0074,withdrew,2,Lecture materials accessed (last 4w),0.0683,+
STU0074,withdrew,3,Most recent assessment grade,0.0391,+
STU0074,withdrew,4,Weeks with no VLE activity,0.0299,+
STU0074,withdrew,5,VLE login volatility,0.0279,+
STU0075,withdrew,1,Lecture materials accessed (last 4w),-0.0701,-
STU0075,withdrew,2,Recent attendance (4-week avg),-0.0539,-
STU0075,withdrew,3,VLE logins last week,-0.0415,-
STU0075,withdrew,4,Past interventions received,-0.029,-
STU0075,withdrew,5,Weeks with no VLE activity,-0.0247,-
STU0076,withdrew,1,Lecture materials accessed (last 4w),-0.0654,-
STU0076,withdrew,2,Recent attendance (4-week avg),-0.0578,-
STU0076,withdrew,3,Past interventions received,-0.0325,-
STU0076,withdrew,4,VLE login volatility,-0.0282,-
STU0076,withdrew,5,Most recent assessment grade,-0.0276,-
STU0077,withdrew,1,Lecture materials accessed (last 4w),-0.0711,-
STU0077,withdrew,2,Recent attendance (4-week avg),-0.0624,-
STU0077,withdrew,3,Past interventions received,-0.0395,-
STU0077,withdrew,4,Most recent assessment grade,-0.0267,-
STU0077,withdrew,5,Unexcused absences (12-week count),-0.0253,-
STU0078,withdrew,1,Recent attendance (4-week avg),0.06,+
STU0078,withdrew,2,Lecture materials accessed (last 4w),0.0521,+
STU0078,withdrew,3,VLE logins last week,0.0392,+
STU0078,withdrew,4,Most recent assessment grade,0.0356,+
STU0078,withdrew,5,Past interventions received,0.0286,+
STU0079,withdrew,1,Lecture materials accessed (last 4w),-0.077,-
STU0079,withdrew,2,Recent attendance (4-week avg),-0.064,-
STU0079,withdrew,3,Past interventions received,-0.0325,-
STU0079,withdrew,4,VLE login volatility,-0.0272,-
STU0079,withdrew,5,Most recent assessment grade,-0.0249,-
STU0080,withdrew,1,Lecture materials accessed (last 4w),-0.0675,-
STU0080,withdrew,2,Recent attendance (4-week avg),-0.0534,-
STU0080,withdrew,3,Past interventions received,-0.0338,-
STU0080,withdrew,4,Unexcused absences (12-week count),-0.0262,-
STU0080,withdrew,5,Most recent assessment grade,-0.0257,-
STU0081,withdrew,1,Lecture materials accessed (last 4w),-0.0694,-
STU0081,withdrew,2,Recent attendance (4-week avg),0.0692,+
STU0081,withdrew,3,Past interventions received,-0.0279,-
STU0081,withdrew,4,Most recent assessment grade,-0.0235,-
STU0081,withdrew,5,Unexcused absences (12-week count),0.0231,+
STU0082,withdrew,1,Lecture materials accessed (last 4w),-0.0875,-
STU0082,withdrew,2,Recent attendance (4-week avg),-0.0608,-
STU0082,withdrew,3,Past interventions received,-0.0311,-
STU0082,withdrew,4,On-time submissions,-0.0257,-
STU0082,withdrew,5,Weeks with no VLE activity,0.0256,+
STU0083,withdrew,1,Lecture materials accessed (last 4w),0.0741,+
STU0083,withdrew,2,Recent attendance (4-week avg),-0.0615,-
STU0083,withdrew,3,VLE logins last week,-0.0502,-
STU0083,withdrew,4,Most recent assessment grade,-0.0353,-
STU0083,withdrew,5,Past interventions received,-0.0281,-
STU0084,withdrew,1,Lecture materials accessed (last 4w),-0.0839,-
STU0084,withdrew,2,Recent attendance (4-week avg),-0.0618,-
STU0084,withdrew,3,Past interventions received,-0.0341,-
STU0084,withdrew,4,Most recent assessment grade,-0.0265,-
STU0084,withdrew,5,Weeks with no VLE activity,-0.0262,-
STU0085,withdrew,1,Recent attendance (4-week avg),-0.0526,-
STU0085,withdrew,2,Lecture materials accessed (last 4w),-0.0488,-
STU0085,withdrew,3,Most recent assessment grade,-0.0308,-
STU0085,withdrew,4,Past interventions received,-0.0284,-
STU0085,withdrew,5,Weeks with no VLE activity,-0.0243,-
STU0086,withdrew,1,Lecture materials accessed (last 4w),-0.073,-
STU0086,withdrew,2,Recent attendance (4-week avg),-0.0576,-
STU0086,withdrew,3,Past interventions received,-0.0343,-
STU0086,withdrew,4,Unexcused absences (12-week count),-0.0268,-
STU0086,withdrew,5,Weeks with no VLE activity,-0.0259,-
STU0087,withdrew,1,Lecture materials accessed (last 4w),0.0695,+
STU0087,withdrew,2,Recent attendance (4-week avg),0.0299,+
STU0087,withdrew,3,Most recent assessment grade,-0.0285,-
STU0087,withdrew,4,On-time submissions,-0.0278,-
STU0087,withdrew,5,Past interventions received,-0.0265,-
STU0088,withdrew,1,Lecture materials accessed (last 4w),-0.0742,-
STU0088,withdrew,2,Recent attendance (4-week avg),-0.0622,-
STU0088,withdrew,3,Past interventions received,-0.0331,-
STU0088,withdrew,4,Most recent assessment grade,-0.0299,-
STU0088,withdrew,5,Unexcused absences (12-week count),-0.0267,-
STU0089,withdrew,1,Lecture materials accessed (last 4w),-0.0679,-
STU0089,withdrew,2,Recent attendance (4-week avg),-0.0574,-
STU0089,withdrew,3,VLE logins last week,-0.0484,-
STU0089,withdrew,4,Past interventions received,-0.0301,-
STU0089,withdrew,5,Unexcused absences (12-week count),-0.0283,-
STU0090,withdrew,1,Lecture materials accessed (last 4w),-0.0696,-
STU0090,withdrew,2,Recent attendance (4-week avg),-0.0571,-
STU0090,withdrew,3,Past interventions received,-0.0365,-
STU0090,withdrew,4,Unexcused absences (12-week count),-0.027,-
STU0090,withdrew,5,Most recent assessment grade,-0.0268,-
STU0091,withdrew,1,Lecture materials accessed (last 4w),-0.0634,-
STU0091,withdrew,2,Recent attendance (4-week avg),-0.0508,-
STU0091,withdrew,3,VLE logins last week,-0.0437,-
STU0091,withdrew,4,Past interventions received,-0.0302,-
STU0091,withdrew,5,Most recent assessment grade,-0.0273,-
